timestamp,action_type,item_id,cursor_time,source,user_answer,platform
1565651017866,pay,p130,,,,
1566532547478,enter,b5298,,my_note,,web
1566532582693,respond,q7242,,my_note,a,web
1566532645820,respond,q7243,,my_note,a,web
1566532707773,respond,q7244,,my_note,a,web
1566532753222,respond,q7245,,my_note,c,web
1566532755405,respond,q7245,,my_note,a,web
1566532774837,respond,q7246,,my_note,d,web
1566532788724,respond,q7243,,my_note,b,web
1566532800878,respond,q7243,,my_note,d,web
1566532812904,submit,b5298,,my_note,,web
1566532815415,enter,e5298,,my_note,,web
1566532872485,quit,e5298,,my_note,,web
1566533028007,enter,e5298,,my_note,,web
1566533427248,quit,e5298,,my_note,,web
1566533450412,enter,e5211,,my_note,,web
1566533481719,quit,e5211,,my_note,,web
1566533487185,enter,e5211,,my_note,,web
1566533545420,quit,e5211,,my_note,,web
1566533549775,enter,e5194,,my_note,,web
1566533894471,quit,e5194,,my_note,,web
1566533901260,enter,b5467,,my_note,,web
1566533980176,respond,q7851,,my_note,b,web
1566533986763,respond,q7852,,my_note,c,web
1566534055537,respond,q7853,,my_note,b,web
1566534057999,respond,q7853,,my_note,a,web
1566534095518,respond,q7854,,my_note,d,web
1566534136590,respond,q7855,,my_note,d,web
1566534141393,submit,b5467,,my_note,,web
1566534144055,enter,e5467,,my_note,,web
1566534222557,quit,e5467,,my_note,,web
1566534225503,enter,b5510,,my_note,,web
1566534257752,respond,q8014,,my_note,c,web
1566534309281,respond,q8015,,my_note,a,web
1566534315427,respond,q8015,,my_note,c,web
1566534343075,respond,q8015,,my_note,a,web
1566534378153,respond,q8016,,my_note,d,web
1566534381003,respond,q8016,,my_note,c,web
1566534387283,respond,q8016,,my_note,b,web
1566534398438,respond,q8017,,my_note,c,web
1566534410308,respond,q8017,,my_note,a,web
1566534411623,submit,b5510,,my_note,,web
1566534413461,enter,e5510,,my_note,,web
1566534522532,quit,e5510,,my_note,,web
1566804383183,enter,b5198,,my_note,,web
1566804423093,erase_choice,q6885,,my_note,d,web
1566804433325,respond,q6885,,my_note,b,web
1566804440016,respond,q6885,,my_note,a,web
1566804443670,respond,q6885,,my_note,b,web
1566804456180,respond,q6886,,my_note,a,web
1566804475807,respond,q6887,,my_note,b,web
1566804499536,respond,q6888,,my_note,c,web
1566804554693,respond,q6888,,my_note,d,web
1566804555760,submit,b5198,,my_note,,web
1566804558541,enter,e5198,,my_note,,web
1566804702913,quit,e5198,,my_note,,web
1566804705718,enter,b5220,,my_note,,web
1566804729633,respond,q6973,,my_note,c,web
1566804774666,respond,q6974,,my_note,d,web
1566804837471,respond,q6975,,my_note,c,web
1566804844642,respond,q6975,,my_note,d,web
1566804858604,respond,q6975,,my_note,c,web
1566804883255,respond,q6975,,my_note,d,web
1566804904763,respond,q6976,,my_note,a,web
1566804911171,respond,q6976,,my_note,b,web
1566804941173,respond,q6975,,my_note,c,web
