timestamp,action_type,item_id,cursor_time,source,user_answer,platform
1565096151269,enter,b3544,,diagnosis,,mobile
1565096187972,respond,q5012,,diagnosis,b,mobile
1565096194904,submit,b3544,,diagnosis,,mobile
1565096195001,enter,b3238,,diagnosis,,mobile
1565096218682,respond,q4706,,diagnosis,c,mobile
1565096223029,submit,b3238,,diagnosis,,mobile
1565096223119,enter,b2898,,diagnosis,,mobile
1565096290094,respond,q4366,,diagnosis,b,mobile
1565096295925,submit,b2898,,diagnosis,,mobile
1565096296012,enter,b3361,,diagnosis,,mobile
1565096337361,respond,q4829,,diagnosis,a,mobile
1565096341309,submit,b3361,,diagnosis,,mobile
1565096341395,enter,b5060,,diagnosis,,mobile
1565096395328,respond,q6528,,diagnosis,b,mobile
1565096403465,submit,b5060,,diagnosis,,mobile
1565096403559,enter,b3325,,diagnosis,,mobile
1565096461374,respond,q4793,,diagnosis,a,mobile
1565096465406,submit,b3325,,diagnosis,,mobile
1565096465497,enter,b5020,,diagnosis,,mobile
1565096499772,respond,q6488,,diagnosis,a,mobile
1565096504384,submit,b5020,,diagnosis,,mobile
1565096637922,enter,l504,,archive,,mobile
1565096645773,play_video,l504,0,archive,,mobile
1565096651182,pause_video,l504,4805,archive,,mobile
1565096652123,play_video,l504,4992,archive,,mobile
1565097005408,pause_video,l504,358098,archive,,mobile
1565097007903,quit,l504,,archive,,mobile
1565097076398,enter,b356,,sprint,,mobile
1565097077179,play_audio,b356,0,sprint,,mobile
1565097093695,pause_audio,b356,16701,sprint,,mobile
1565097095356,respond,q356,,sprint,b,mobile
1565097102642,submit,b356,,sprint,,mobile
1565097102706,enter,e356,,sprint,,mobile
1565097127548,play_audio,b356,0,sprint,,mobile
1565097142034,pause_audio,b356,14244,sprint,,mobile
1565097147894,quit,e356,,sprint,,mobile
1565097147947,enter,b1382,,sprint,,mobile
1565097148502,play_audio,b1382,0,sprint,,mobile
1565097165766,pause_audio,b1382,17477,sprint,,mobile
1565097168971,respond,q1382,,sprint,c,mobile
1565097172778,submit,b1382,,sprint,,mobile
1565097172828,enter,e1382,,sprint,,mobile
1565097177024,play_audio,b1382,0,sprint,,mobile
1565097192312,pause_audio,b1382,15021,sprint,,mobile
1565097213739,quit,e1382,,sprint,,mobile
1565097213786,enter,b830,,sprint,,mobile
1565097214098,play_audio,b830,0,sprint,,mobile
1565097232325,pause_audio,b830,18450,sprint,,mobile
1565097238650,respond,q830,,sprint,b,mobile
1565097241501,submit,b830,,sprint,,mobile
1565097241571,enter,e830,,sprint,,mobile
1565097246714,play_audio,b830,0,sprint,,mobile
1565097263024,pause_audio,b830,16044,sprint,,mobile
1565097273430,quit,e830,,sprint,,mobile
1565097273496,enter,b8312,,sprint,,mobile
1565097273924,play_audio,b8312,0,sprint,,mobile
1565097291345,pause_audio,b8312,17694,sprint,,mobile
1565097295733,respond,q11259,,sprint,b,mobile
1565097298840,submit,b8312,,sprint,,mobile
1565097298887,enter,e8312,,sprint,,mobile
1565097303571,play_audio,b8312,0,sprint,,mobile
1565097319104,pause_audio,b8312,15282,sprint,,mobile
1565097325457,quit,e8312,,sprint,,mobile
1565097325534,enter,b1092,,sprint,,mobile
1565097325853,play_audio,b1092,0,sprint,,mobile
1565097342361,pause_audio,b1092,16855,sprint,,mobile
1565097344934,respond,q1092,,sprint,a,mobile
1565097348085,submit,b1092,,sprint,,mobile
1565097348135,enter,e1092,,sprint,,mobile
